Column,Missing %,Data Type
contributors,100.0,float64
created_at,0.0,object
favorite_count,0.0,int64
favorited,0.0,bool
id,0.0,float64
id_str,0.0,float64
in_reply_to_screen_name,71.81,object
in_reply_to_status_id,73.25,float64
in_reply_to_status_id_str,73.25,float64
in_reply_to_user_id,71.81,float64
in_reply_to_user_id_str,71.81,float64
is_quote_status,0.0,bool
label,0.0,object
lang,0.0,object
possibly_sensitive,55.92,object
quoted_status_id,90.69,float64
quoted_status_id_str,90.69,float64
retweet_count,0.0,int64
retweeted,0.0,bool
source,0.0,object
text,0.0,object
truncated,0.0,bool
uid,0.0,int64
withheld_in_countries,99.98,object
coordinates.type,99.86,object
coordinates.coordinates,99.86,object
extended_entities.media,89.46,object
geo.type,99.86,object
geo.coordinates,99.86,object
place.id,98.67,object
place.url,98.67,object
place.place_type,98.67,object
place.name,98.67,object
place.full_name,98.67,object
place.country_code,98.67,object
place.country,98.67,object
place.contained_within,98.67,object
place.bounding_box.type,98.67,object
place.bounding_box.coordinates,98.67,object
quoted_status.created_at,94.05,object
quoted_status.id,94.05,float64
quoted_status.id_str,94.05,float64
quoted_status.text,94.05,object
quoted_status.truncated,94.05,object
quoted_status.source,94.05,object
quoted_status.in_reply_to_status_id,99.6,float64
quoted_status.in_reply_to_status_id_str,99.6,float64
quoted_status.in_reply_to_user_id,99.55,float64
quoted_status.in_reply_to_user_id_str,99.55,float64
quoted_status.in_reply_to_screen_name,99.55,object
quoted_status.geo,100.0,float64
quoted_status.coordinates,100.0,float64
quoted_status.place,100.0,float64
quoted_status.contributors,100.0,float64
quoted_status.is_quote_status,94.05,object
quoted_status.retweet_count,94.05,float64
quoted_status.favorite_count,94.05,float64
quoted_status.favorited,94.05,object
quoted_status.retweeted,94.05,object
quoted_status.possibly_sensitive,95.06,object
quoted_status.lang,94.05,object
quoted_status.entities.hashtags,94.05,object
quoted_status.entities.symbols,94.05,object
quoted_status.entities.user_mentions,94.05,object
quoted_status.entities.urls,94.05,object
quoted_status.user.id,94.05,float64
quoted_status.user.id_str,94.05,float64
quoted_status.user.name,94.05,object
quoted_status.user.screen_name,94.05,object
quoted_status.user.location,95.19,object
quoted_status.user.description,94.19,object
quoted_status.user.url,95.09,object
quoted_status.user.entities.url.urls,95.09,object
quoted_status.user.entities.description.urls,94.05,object
quoted_status.user.protected,94.05,object
quoted_status.user.followers_count,94.05,float64
quoted_status.user.friends_count,94.05,float64
quoted_status.user.listed_count,94.05,float64
quoted_status.user.created_at,94.05,object
quoted_status.user.favourites_count,94.05,float64
quoted_status.user.utc_offset,100.0,float64
quoted_status.user.time_zone,100.0,float64
quoted_status.user.geo_enabled,94.05,object
quoted_status.user.verified,94.05,object
quoted_status.user.statuses_count,94.05,float64
quoted_status.user.lang,100.0,float64
quoted_status.user.contributors_enabled,94.05,object
quoted_status.user.is_translator,94.05,object
quoted_status.user.is_translation_enabled,94.05,object
quoted_status.user.profile_background_color,94.05,object
quoted_status.user.profile_background_image_url,95.48,object
quoted_status.user.profile_background_image_url_https,95.48,object
quoted_status.user.profile_background_tile,94.05,object
quoted_status.user.profile_image_url,94.05,object
quoted_status.user.profile_image_url_https,94.05,object
quoted_status.user.profile_banner_url,94.57,object
quoted_status.user.profile_link_color,94.05,object
quoted_status.user.profile_sidebar_border_color,94.05,object
quoted_status.user.profile_sidebar_fill_color,94.05,object
quoted_status.user.profile_text_color,94.05,object
quoted_status.user.profile_use_background_image,94.05,object
quoted_status.user.has_extended_profile,94.05,object
quoted_status.user.default_profile,94.05,object
quoted_status.user.default_profile_image,94.05,object
quoted_status.user.following,94.05,object
quoted_status.user.follow_request_sent,94.05,object
quoted_status.user.notifications,94.05,object
quoted_status.user.translator_type,94.05,object
quoted_status.user.withheld_in_countries,94.05,object
quoted_status.entities.media,99.0,object
quoted_status.extended_entities.media,99.0,object
quoted_status.quoted_status_id,99.52,float64
quoted_status.quoted_status_id_str,99.52,float64
quoted_status.place.id,99.9,object
quoted_status.place.url,99.9,object
quoted_status.place.place_type,99.9,object
quoted_status.place.name,99.9,object
quoted_status.place.full_name,99.9,object
quoted_status.place.country_code,99.9,object
quoted_status.place.country,99.9,object
quoted_status.place.contained_within,99.9,object
quoted_status.place.bounding_box.type,99.9,object
quoted_status.place.bounding_box.coordinates,99.9,object
quoted_status.geo.type,100.0,object
quoted_status.geo.coordinates,100.0,object
quoted_status.coordinates.type,100.0,object
quoted_status.coordinates.coordinates,100.0,object
retweeted_status.created_at,67.05,object
retweeted_status.id,67.05,float64
retweeted_status.id_str,67.05,float64
retweeted_status.text,67.05,object
retweeted_status.truncated,67.05,object
retweeted_status.source,67.05,object
retweeted_status.in_reply_to_status_id,98.34,float64
retweeted_status.in_reply_to_status_id_str,98.34,float64
retweeted_status.in_reply_to_user_id,98.04,float64
retweeted_status.in_reply_to_user_id_str,98.04,float64
retweeted_status.in_reply_to_screen_name,98.04,object
retweeted_status.geo,100.0,float64
retweeted_status.coordinates,100.0,float64
retweeted_status.place,100.0,float64
retweeted_status.contributors,100.0,float64
retweeted_status.is_quote_status,67.05,object
retweeted_status.retweet_count,67.05,float64
retweeted_status.favorite_count,67.05,float64
retweeted_status.favorited,67.05,object
retweeted_status.retweeted,67.05,object
retweeted_status.possibly_sensitive,72.44,object
retweeted_status.lang,67.05,object
retweeted_status.entities.hashtags,67.05,object
retweeted_status.entities.symbols,67.05,object
retweeted_status.entities.user_mentions,67.05,object
retweeted_status.entities.urls,67.05,object
retweeted_status.entities.media,94.8,object
retweeted_status.extended_entities.media,94.8,object
retweeted_status.user.id,67.05,float64
retweeted_status.user.id_str,67.05,float64
retweeted_status.user.name,67.05,object
retweeted_status.user.screen_name,67.05,object
retweeted_status.user.location,73.99,object
retweeted_status.user.description,68.06,object
retweeted_status.user.url,73.98,object
retweeted_status.user.entities.url.urls,73.98,object
retweeted_status.user.entities.description.urls,67.05,object
retweeted_status.user.protected,67.05,object
retweeted_status.user.followers_count,67.05,float64
retweeted_status.user.friends_count,67.05,float64
retweeted_status.user.listed_count,67.05,float64
retweeted_status.user.created_at,67.05,object
retweeted_status.user.favourites_count,67.05,float64
retweeted_status.user.utc_offset,100.0,float64
retweeted_status.user.time_zone,100.0,float64
retweeted_status.user.geo_enabled,67.05,object
retweeted_status.user.verified,67.05,object
retweeted_status.user.statuses_count,67.05,float64
retweeted_status.user.lang,100.0,float64
retweeted_status.user.contributors_enabled,67.05,object
retweeted_status.user.is_translator,67.05,object
retweeted_status.user.is_translation_enabled,67.05,object
retweeted_status.user.profile_background_color,67.05,object
retweeted_status.user.profile_background_image_url,75.8,object
retweeted_status.user.profile_background_image_url_https,75.8,object
retweeted_status.user.profile_background_tile,67.05,object
retweeted_status.user.profile_image_url,67.05,object
retweeted_status.user.profile_image_url_https,67.05,object
retweeted_status.user.profile_banner_url,69.87,object
retweeted_status.user.profile_link_color,67.05,object
retweeted_status.user.profile_sidebar_border_color,67.05,object
retweeted_status.user.profile_sidebar_fill_color,67.05,object
retweeted_status.user.profile_text_color,67.05,object
retweeted_status.user.profile_use_background_image,67.05,object
retweeted_status.user.has_extended_profile,67.05,object
retweeted_status.user.default_profile,67.05,object
retweeted_status.user.default_profile_image,67.05,object
retweeted_status.user.following,67.05,object
retweeted_status.user.follow_request_sent,67.05,object
retweeted_status.user.notifications,67.05,object
retweeted_status.user.translator_type,67.05,object
retweeted_status.user.withheld_in_countries,67.05,object
retweeted_status.quoted_status_id,96.85,float64
retweeted_status.quoted_status_id_str,96.85,float64
retweeted_status.quoted_status.created_at,96.89,object
retweeted_status.quoted_status.id,96.89,float64
retweeted_status.quoted_status.id_str,96.89,float64
retweeted_status.quoted_status.text,96.89,object
retweeted_status.quoted_status.truncated,96.89,object
retweeted_status.quoted_status.entities.hashtags,96.89,object
retweeted_status.quoted_status.entities.symbols,96.89,object
retweeted_status.quoted_status.entities.user_mentions,96.89,object
retweeted_status.quoted_status.entities.urls,96.89,object
retweeted_status.quoted_status.entities.media,99.64,object
retweeted_status.quoted_status.extended_entities.media,99.64,object
retweeted_status.quoted_status.source,96.89,object
retweeted_status.quoted_status.in_reply_to_status_id,99.82,float64
retweeted_status.quoted_status.in_reply_to_status_id_str,99.82,float64
retweeted_status.quoted_status.in_reply_to_user_id,99.81,float64
retweeted_status.quoted_status.in_reply_to_user_id_str,99.81,float64
retweeted_status.quoted_status.in_reply_to_screen_name,99.81,object
retweeted_status.quoted_status.user.id,96.89,float64
retweeted_status.quoted_status.user.id_str,96.89,float64
retweeted_status.quoted_status.user.name,96.89,object
retweeted_status.quoted_status.user.screen_name,96.89,object
retweeted_status.quoted_status.user.location,97.58,object
retweeted_status.quoted_status.user.description,97.0,object
retweeted_status.quoted_status.user.url,97.48,object
retweeted_status.quoted_status.user.entities.url.urls,97.48,object
retweeted_status.quoted_status.user.entities.description.urls,96.89,object
retweeted_status.quoted_status.user.protected,96.89,object
retweeted_status.quoted_status.user.followers_count,96.89,float64
retweeted_status.quoted_status.user.friends_count,96.89,float64
retweeted_status.quoted_status.user.listed_count,96.89,float64
retweeted_status.quoted_status.user.created_at,96.89,object
retweeted_status.quoted_status.user.favourites_count,96.89,float64
retweeted_status.quoted_status.user.utc_offset,100.0,float64
retweeted_status.quoted_status.user.time_zone,100.0,float64
retweeted_status.quoted_status.user.geo_enabled,96.89,object
retweeted_status.quoted_status.user.verified,96.89,object
retweeted_status.quoted_status.user.statuses_count,96.89,float64
retweeted_status.quoted_status.user.lang,100.0,float64
retweeted_status.quoted_status.user.contributors_enabled,96.89,object
retweeted_status.quoted_status.user.is_translator,96.89,object
retweeted_status.quoted_status.user.is_translation_enabled,96.89,object
retweeted_status.quoted_status.user.profile_background_color,96.89,object
retweeted_status.quoted_status.user.profile_background_image_url,97.78,object
retweeted_status.quoted_status.user.profile_background_image_url_https,97.78,object
retweeted_status.quoted_status.user.profile_background_tile,96.89,object
retweeted_status.quoted_status.user.profile_image_url,96.89,object
retweeted_status.quoted_status.user.profile_image_url_https,96.89,object
retweeted_status.quoted_status.user.profile_banner_url,97.23,object
retweeted_status.quoted_status.user.profile_link_color,96.89,object
retweeted_status.quoted_status.user.profile_sidebar_border_color,96.89,object
retweeted_status.quoted_status.user.profile_sidebar_fill_color,96.89,object
retweeted_status.quoted_status.user.profile_text_color,96.89,object
retweeted_status.quoted_status.user.profile_use_background_image,96.89,object
retweeted_status.quoted_status.user.has_extended_profile,96.89,object
retweeted_status.quoted_status.user.default_profile,96.89,object
retweeted_status.quoted_status.user.default_profile_image,96.89,object
retweeted_status.quoted_status.user.following,96.89,object
retweeted_status.quoted_status.user.follow_request_sent,96.89,object
retweeted_status.quoted_status.user.notifications,96.89,object
retweeted_status.quoted_status.user.translator_type,96.89,object
retweeted_status.quoted_status.user.withheld_in_countries,96.89,object
retweeted_status.quoted_status.geo,100.0,float64
retweeted_status.quoted_status.coordinates,100.0,float64
retweeted_status.quoted_status.place,100.0,float64
retweeted_status.quoted_status.contributors,100.0,float64
retweeted_status.quoted_status.is_quote_status,96.89,object
retweeted_status.quoted_status.retweet_count,96.89,float64
retweeted_status.quoted_status.favorite_count,96.89,float64
retweeted_status.quoted_status.favorited,96.89,object
retweeted_status.quoted_status.retweeted,96.89,object
retweeted_status.quoted_status.possibly_sensitive,97.29,object
retweeted_status.quoted_status.lang,96.89,object
retweeted_status.quoted_status.quoted_status_id,99.8,float64
retweeted_status.quoted_status.quoted_status_id_str,99.8,float64
retweeted_status.place.id,99.34,object
retweeted_status.place.url,99.34,object
retweeted_status.place.place_type,99.34,object
retweeted_status.place.name,99.34,object
retweeted_status.place.full_name,99.34,object
retweeted_status.place.country_code,99.34,object
retweeted_status.place.country,99.34,object
retweeted_status.place.contained_within,99.34,object
retweeted_status.place.bounding_box.type,99.34,object
retweeted_status.place.bounding_box.coordinates,99.34,object
retweeted_status.withheld_in_countries,99.98,object
retweeted_status.scopes.followers,99.95,object
retweeted_status.quoted_status.place.id,99.94,object
retweeted_status.quoted_status.place.url,99.94,object
retweeted_status.quoted_status.place.place_type,99.94,object
retweeted_status.quoted_status.place.name,99.94,object
retweeted_status.quoted_status.place.full_name,99.94,object
retweeted_status.quoted_status.place.country_code,99.94,object
retweeted_status.quoted_status.place.country,99.94,object
retweeted_status.quoted_status.place.contained_within,99.94,object
retweeted_status.quoted_status.place.bounding_box.type,99.94,object
retweeted_status.quoted_status.place.bounding_box.coordinates,99.94,object
retweeted_status.geo.type,99.99,object
retweeted_status.geo.coordinates,99.99,object
retweeted_status.coordinates.type,99.99,object
retweeted_status.coordinates.coordinates,99.99,object
