,Feature,Metric,Original,MCAR,Diff,Pct_Change
0,created_at_minus_quoted_status.created_at_days,count,1465.0,1411.0,-54.0,3.69
1,created_at_minus_quoted_status.created_at_days,mean,20.13,20.72,0.59,2.91
2,created_at_minus_quoted_status.created_at_days,std,182.49,185.9,3.41,1.87
3,created_at_minus_quoted_status.created_at_days,min,0.0,0.0,0.0,0.0
4,created_at_minus_quoted_status.created_at_days,25%,0.05,0.05,0.0,0.83
5,created_at_minus_quoted_status.created_at_days,50%,0.29,0.29,0.0,0.37
6,created_at_minus_quoted_status.created_at_days,75%,1.03,1.02,-0.01,1.33
7,created_at_minus_quoted_status.created_at_days,max,3992.75,3992.75,0.0,0.0
8,created_at_minus_quoted_status.user.created_at_days,count,1465.0,1407.0,-58.0,3.96
9,created_at_minus_quoted_status.user.created_at_days,mean,3355.91,3361.68,5.77,0.17
10,created_at_minus_quoted_status.user.created_at_days,std,1643.13,1634.25,-8.87,0.54
11,created_at_minus_quoted_status.user.created_at_days,min,0.52,0.52,0.0,0.0
12,created_at_minus_quoted_status.user.created_at_days,25%,2061.79,2075.05,13.26,0.64
13,created_at_minus_quoted_status.user.created_at_days,50%,3722.89,3711.78,-11.11,0.3
14,created_at_minus_quoted_status.user.created_at_days,75%,4818.96,4818.19,-0.76,0.02
15,created_at_minus_quoted_status.user.created_at_days,max,6090.27,6090.27,0.0,0.0
16,created_at_minus_retweeted_status.created_at_days,count,8046.0,7648.0,-398.0,4.95
17,created_at_minus_retweeted_status.created_at_days,mean,10.61,10.64,0.03,0.26
18,created_at_minus_retweeted_status.created_at_days,std,105.52,106.76,1.24,1.18
19,created_at_minus_retweeted_status.created_at_days,min,0.0,0.0,0.0,0.0
20,created_at_minus_retweeted_status.created_at_days,25%,0.05,0.05,0.0,2.0
21,created_at_minus_retweeted_status.created_at_days,50%,0.27,0.27,0.0,0.22
22,created_at_minus_retweeted_status.created_at_days,75%,0.92,0.92,0.0,0.12
23,created_at_minus_retweeted_status.created_at_days,max,3981.02,3981.02,0.0,0.0
24,created_at_minus_retweeted_status.user.created_at_days,count,8046.0,7649.0,-397.0,4.93
25,created_at_minus_retweeted_status.user.created_at_days,mean,3101.64,3102.59,0.95,0.03
26,created_at_minus_retweeted_status.user.created_at_days,std,1621.03,1620.57,-0.46,0.03
27,created_at_minus_retweeted_status.user.created_at_days,min,0.21,0.21,0.0,0.0
28,created_at_minus_retweeted_status.user.created_at_days,25%,1707.16,1707.45,0.29,0.02
29,created_at_minus_retweeted_status.user.created_at_days,50%,3366.84,3361.31,-5.53,0.16
30,created_at_minus_retweeted_status.user.created_at_days,75%,4524.17,4526.98,2.81,0.06
31,created_at_minus_retweeted_status.user.created_at_days,max,6094.85,6094.85,0.0,0.0
32,quoted_status.created_at_day,count,1465.0,1385.0,-80.0,5.46
33,quoted_status.created_at_day,mean,13.06,13.12,0.06,0.46
34,quoted_status.created_at_day,std,8.75,8.8,0.05,0.62
35,quoted_status.created_at_day,min,1.0,1.0,0.0,0.0
36,quoted_status.created_at_day,25%,6.0,6.0,0.0,0.0
37,quoted_status.created_at_day,50%,10.0,10.0,0.0,0.0
38,quoted_status.created_at_day,75%,20.0,20.0,0.0,0.0
39,quoted_status.created_at_day,max,31.0,31.0,0.0,0.0
40,quoted_status.created_at_dayofweek,count,1465.0,1390.0,-75.0,5.12
41,quoted_status.created_at_dayofweek,mean,2.6,2.58,-0.02,0.85
42,quoted_status.created_at_dayofweek,std,1.99,1.99,0.0,0.02
43,quoted_status.created_at_dayofweek,min,0.0,0.0,0.0,
44,quoted_status.created_at_dayofweek,25%,1.0,1.0,0.0,0.0
45,quoted_status.created_at_dayofweek,50%,3.0,3.0,0.0,0.0
46,quoted_status.created_at_dayofweek,75%,4.0,4.0,0.0,0.0
47,quoted_status.created_at_dayofweek,max,6.0,6.0,0.0,0.0
48,quoted_status.created_at_dayofweek_cos,count,1465.0,1382.0,-83.0,5.67
49,quoted_status.created_at_dayofweek_cos,mean,0.03,0.03,-0.0,9.4
50,quoted_status.created_at_dayofweek_cos,std,0.76,0.76,0.0,0.07
51,quoted_status.created_at_dayofweek_cos,min,-0.9,-0.9,0.0,0.0
52,quoted_status.created_at_dayofweek_cos,25%,-0.9,-0.9,0.0,0.0
53,quoted_status.created_at_dayofweek_cos,50%,-0.22,-0.22,0.0,0.0
54,quoted_status.created_at_dayofweek_cos,75%,0.62,0.62,0.0,0.0
55,quoted_status.created_at_dayofweek_cos,max,1.0,1.0,0.0,0.0
56,quoted_status.created_at_dayofweek_sin,count,1465.0,1394.0,-71.0,4.85
57,quoted_status.created_at_dayofweek_sin,mean,0.06,0.05,-0.01,12.75
58,quoted_status.created_at_dayofweek_sin,std,0.64,0.65,0.0,0.22
59,quoted_status.created_at_dayofweek_sin,min,-0.97,-0.97,0.0,0.0
60,quoted_status.created_at_dayofweek_sin,25%,-0.43,-0.43,0.0,0.0
61,quoted_status.created_at_dayofweek_sin,50%,0.0,0.0,0.0,
62,quoted_status.created_at_dayofweek_sin,75%,0.78,0.78,0.0,0.0
63,quoted_status.created_at_dayofweek_sin,max,0.97,0.97,0.0,0.0
64,quoted_status.created_at_days_since_ref,count,1465.0,1396.0,-69.0,4.71
65,quoted_status.created_at_days_since_ref,mean,8317.06,8317.04,-0.02,0.0
66,quoted_status.created_at_days_since_ref,std,430.33,429.75,-0.58,0.13
67,quoted_status.created_at_days_since_ref,min,4433.0,4433.0,0.0,0.0
68,quoted_status.created_at_days_since_ref,25%,8370.0,8370.0,0.0,0.0
69,quoted_status.created_at_days_since_ref,50%,8483.0,8482.0,-1.0,0.01
70,quoted_status.created_at_days_since_ref,75%,8496.0,8496.0,0.0,0.0
71,quoted_status.created_at_days_since_ref,max,8501.0,8501.0,0.0,0.0
72,quoted_status.created_at_minus_created_at_days,count,1465.0,1391.0,-74.0,5.05
73,quoted_status.created_at_minus_created_at_days,mean,-20.13,-20.51,-0.38,1.86
74,quoted_status.created_at_minus_created_at_days,std,182.49,186.34,3.85,2.11
75,quoted_status.created_at_minus_created_at_days,min,-3992.75,-3992.75,0.0,0.0
76,quoted_status.created_at_minus_created_at_days,25%,-1.03,-1.04,-0.0,0.41
77,quoted_status.created_at_minus_created_at_days,50%,-0.29,-0.29,0.0,1.36
78,quoted_status.created_at_minus_created_at_days,75%,-0.05,-0.05,-0.0,0.84
79,quoted_status.created_at_minus_created_at_days,max,-0.0,-0.0,0.0,0.0
80,quoted_status.created_at_minus_quoted_status.user.created_at_days,count,1465.0,1394.0,-71.0,4.85
81,quoted_status.created_at_minus_quoted_status.user.created_at_days,mean,3335.78,3330.16,-5.62,0.17
82,quoted_status.created_at_minus_quoted_status.user.created_at_days,std,1644.93,1647.25,2.32,0.14
83,quoted_status.created_at_minus_quoted_status.user.created_at_days,min,0.01,0.01,0.0,0.0
84,quoted_status.created_at_minus_quoted_status.user.created_at_days,25%,2032.09,1998.91,-33.18,1.63
85,quoted_status.created_at_minus_quoted_status.user.created_at_days,50%,3703.67,3692.82,-10.85,0.29
86,quoted_status.created_at_minus_quoted_status.user.created_at_days,75%,4793.86,4793.86,0.0,0.0
87,quoted_status.created_at_minus_quoted_status.user.created_at_days,max,6090.08,6090.08,0.0,0.0
88,quoted_status.created_at_month,count,1465.0,1403.0,-62.0,4.23
89,quoted_status.created_at_month,mean,4.55,4.53,-0.02,0.42
90,quoted_status.created_at_month,std,2.71,2.69,-0.02,0.75
91,quoted_status.created_at_month,min,1.0,1.0,0.0,0.0
92,quoted_status.created_at_month,25%,3.0,3.0,0.0,0.0
93,quoted_status.created_at_month,50%,4.0,4.0,0.0,0.0
94,quoted_status.created_at_month,75%,4.0,4.0,0.0,0.0
95,quoted_status.created_at_month,max,12.0,12.0,0.0,0.0
96,quoted_status.created_at_month_cos,count,1465.0,1395.0,-70.0,4.78
97,quoted_status.created_at_month_cos,mean,-0.11,-0.12,-0.0,0.99
98,quoted_status.created_at_month_cos,std,0.54,0.54,-0.0,0.44
99,quoted_status.created_at_month_cos,min,-1.0,-1.0,0.0,0.0
100,quoted_status.created_at_month_cos,25%,-0.5,-0.5,0.0,0.0
101,quoted_status.created_at_month_cos,50%,-0.5,-0.5,0.0,0.0
102,quoted_status.created_at_month_cos,75%,0.0,0.0,0.0,0.0
103,quoted_status.created_at_month_cos,max,1.0,1.0,0.0,0.0
104,quoted_status.created_at_month_sin,count,1465.0,1386.0,-79.0,5.39
105,quoted_status.created_at_month_sin,mean,0.6,0.6,0.0,0.39
106,quoted_status.created_at_month_sin,std,0.57,0.57,-0.0,0.29
107,quoted_status.created_at_month_sin,min,-1.0,-1.0,0.0,0.0
108,quoted_status.created_at_month_sin,25%,0.5,0.5,0.0,0.0
109,quoted_status.created_at_month_sin,50%,0.87,0.87,0.0,0.0
110,quoted_status.created_at_month_sin,75%,0.87,0.87,0.0,0.0
111,quoted_status.created_at_month_sin,max,1.0,1.0,0.0,0.0
112,quoted_status.created_at_quarter,count,1465.0,1391.0,-74.0,5.05
113,quoted_status.created_at_quarter,mean,1.93,1.93,-0.0,0.08
114,quoted_status.created_at_quarter,std,0.93,0.92,-0.01,0.56
115,quoted_status.created_at_quarter,min,1.0,1.0,0.0,0.0
116,quoted_status.created_at_quarter,25%,1.0,1.0,0.0,0.0
117,quoted_status.created_at_quarter,50%,2.0,2.0,0.0,0.0
118,quoted_status.created_at_quarter,75%,2.0,2.0,0.0,0.0
119,quoted_status.created_at_quarter,max,4.0,4.0,0.0,0.0
120,quoted_status.created_at_year,count,1465.0,1385.0,-80.0,5.46
121,quoted_status.created_at_year,mean,2022.44,2022.44,-0.0,0.0
122,quoted_status.created_at_year,std,1.26,1.28,0.02,1.68
123,quoted_status.created_at_year,min,2012.0,2012.0,0.0,0.0
124,quoted_status.created_at_year,25%,2022.0,2022.0,0.0,0.0
125,quoted_status.created_at_year,50%,2023.0,2023.0,0.0,0.0
126,quoted_status.created_at_year,75%,2023.0,2023.0,0.0,0.0
127,quoted_status.created_at_year,max,2023.0,2023.0,0.0,0.0
128,quoted_status.favorite_count,count,1465.0,1402.0,-63.0,4.3
129,quoted_status.favorite_count,mean,6924.23,6800.11,-124.12,1.79
130,quoted_status.favorite_count,std,36849.71,36694.02,-155.7,0.42
131,quoted_status.favorite_count,min,0.0,0.0,0.0,
132,quoted_status.favorite_count,25%,13.0,13.0,0.0,0.0
133,quoted_status.favorite_count,50%,77.0,76.5,-0.5,0.65
134,quoted_status.favorite_count,75%,992.0,986.25,-5.75,0.58
135,quoted_status.favorite_count,max,767402.0,767402.0,0.0,0.0
136,quoted_status.retweet_count,count,1465.0,1405.0,-60.0,4.1
137,quoted_status.retweet_count,mean,1367.8,1411.05,43.25,3.16
138,quoted_status.retweet_count,std,7334.05,7483.26,149.21,2.03
139,quoted_status.retweet_count,min,0.0,0.0,0.0,
140,quoted_status.retweet_count,25%,3.0,3.0,0.0,0.0
141,quoted_status.retweet_count,50%,17.0,17.0,0.0,0.0
142,quoted_status.retweet_count,75%,183.0,195.0,12.0,6.56
143,quoted_status.retweet_count,max,181096.0,181096.0,0.0,0.0
144,quoted_status.user.created_at_day,count,1465.0,1395.0,-70.0,4.78
145,quoted_status.user.created_at_day,mean,15.33,15.31,-0.02,0.12
146,quoted_status.user.created_at_day,std,8.88,8.88,-0.0,0.03
147,quoted_status.user.created_at_day,min,1.0,1.0,0.0,0.0
148,quoted_status.user.created_at_day,25%,7.0,7.0,0.0,0.0
149,quoted_status.user.created_at_day,50%,15.0,15.0,0.0,0.0
150,quoted_status.user.created_at_day,75%,23.0,23.0,0.0,0.0
151,quoted_status.user.created_at_day,max,31.0,31.0,0.0,0.0
152,quoted_status.user.created_at_dayofweek,count,1465.0,1388.0,-77.0,5.26
153,quoted_status.user.created_at_dayofweek,mean,2.72,2.72,-0.01,0.19
154,quoted_status.user.created_at_dayofweek,std,1.88,1.88,-0.01,0.28
155,quoted_status.user.created_at_dayofweek,min,0.0,0.0,0.0,
156,quoted_status.user.created_at_dayofweek,25%,1.0,1.0,0.0,0.0
157,quoted_status.user.created_at_dayofweek,50%,3.0,3.0,0.0,0.0
158,quoted_status.user.created_at_dayofweek,75%,4.0,4.0,0.0,0.0
159,quoted_status.user.created_at_dayofweek,max,6.0,6.0,0.0,0.0
160,quoted_status.user.created_at_dayofweek_cos,count,1465.0,1386.0,-79.0,5.39
161,quoted_status.user.created_at_dayofweek_cos,mean,-0.03,-0.03,-0.0,10.27
162,quoted_status.user.created_at_dayofweek_cos,std,0.72,0.72,-0.0,0.17
163,quoted_status.user.created_at_dayofweek_cos,min,-0.9,-0.9,0.0,0.0
164,quoted_status.user.created_at_dayofweek_cos,25%,-0.9,-0.9,0.0,0.0
165,quoted_status.user.created_at_dayofweek_cos,50%,-0.22,-0.22,0.0,0.0
166,quoted_status.user.created_at_dayofweek_cos,75%,0.62,0.62,0.0,0.0
167,quoted_status.user.created_at_dayofweek_cos,max,1.0,1.0,0.0,0.0
168,quoted_status.user.created_at_dayofweek_sin,count,1465.0,1384.0,-81.0,5.53
169,quoted_status.user.created_at_dayofweek_sin,mean,0.13,0.13,0.0,2.03
170,quoted_status.user.created_at_dayofweek_sin,std,0.68,0.68,-0.0,0.41
171,quoted_status.user.created_at_dayofweek_sin,min,-0.97,-0.97,0.0,0.0
172,quoted_status.user.created_at_dayofweek_sin,25%,-0.43,-0.43,0.0,0.0
173,quoted_status.user.created_at_dayofweek_sin,50%,0.43,0.43,0.0,0.0
174,quoted_status.user.created_at_dayofweek_sin,75%,0.78,0.78,0.0,0.0
175,quoted_status.user.created_at_dayofweek_sin,max,0.97,0.97,0.0,0.0
176,quoted_status.user.created_at_days_since_ref,count,1465.0,1378.0,-87.0,5.94
177,quoted_status.user.created_at_days_since_ref,mean,4981.29,4975.88,-5.41,0.11
178,quoted_status.user.created_at_days_since_ref,std,1627.95,1630.89,2.94,0.18
179,quoted_status.user.created_at_days_since_ref,min,2408.0,2408.0,0.0,0.0
180,quoted_status.user.created_at_days_since_ref,25%,3555.0,3553.0,-2.0,0.06
181,quoted_status.user.created_at_days_since_ref,50%,4540.0,4537.0,-3.0,0.07
182,quoted_status.user.created_at_days_since_ref,75%,6300.0,6299.75,-0.25,0.0
183,quoted_status.user.created_at_days_since_ref,max,8498.0,8498.0,0.0,0.0
184,quoted_status.user.created_at_minus_created_at_days,count,1465.0,1389.0,-76.0,5.19
185,quoted_status.user.created_at_minus_created_at_days,mean,-3355.91,-3351.91,4.01,0.12
186,quoted_status.user.created_at_minus_created_at_days,std,1643.13,1645.71,2.58,0.16
187,quoted_status.user.created_at_minus_created_at_days,min,-6090.27,-6090.27,0.0,0.0
188,quoted_status.user.created_at_minus_created_at_days,25%,-4818.96,-4818.96,0.0,0.0
189,quoted_status.user.created_at_minus_created_at_days,50%,-3722.89,-3722.89,0.0,0.0
190,quoted_status.user.created_at_minus_created_at_days,75%,-2061.79,-2055.35,6.44,0.31
191,quoted_status.user.created_at_minus_created_at_days,max,-0.52,-0.52,0.0,0.0
192,quoted_status.user.created_at_minus_quoted_status.created_at_days,count,1465.0,1395.0,-70.0,4.78
193,quoted_status.user.created_at_minus_quoted_status.created_at_days,mean,-3335.78,-3328.93,6.85,0.21
194,quoted_status.user.created_at_minus_quoted_status.created_at_days,std,1644.93,1646.82,1.89,0.11
195,quoted_status.user.created_at_minus_quoted_status.created_at_days,min,-6090.08,-6090.08,0.0,0.0
196,quoted_status.user.created_at_minus_quoted_status.created_at_days,25%,-4793.86,-4793.86,0.0,0.0
197,quoted_status.user.created_at_minus_quoted_status.created_at_days,50%,-3703.67,-3668.1,35.57,0.96
198,quoted_status.user.created_at_minus_quoted_status.created_at_days,75%,-2032.09,-2021.95,10.14,0.5
199,quoted_status.user.created_at_minus_quoted_status.created_at_days,max,-0.01,-0.01,0.0,0.0
200,quoted_status.user.created_at_month,count,1465.0,1380.0,-85.0,5.8
201,quoted_status.user.created_at_month,mean,6.2,6.18,-0.01,0.22
202,quoted_status.user.created_at_month,std,3.41,3.4,-0.01,0.33
203,quoted_status.user.created_at_month,min,1.0,1.0,0.0,0.0
204,quoted_status.user.created_at_month,25%,3.0,3.0,0.0,0.0
205,quoted_status.user.created_at_month,50%,6.0,6.0,0.0,0.0
206,quoted_status.user.created_at_month,75%,9.0,9.0,0.0,0.0
207,quoted_status.user.created_at_month,max,12.0,12.0,0.0,0.0
208,quoted_status.user.created_at_month_cos,count,1465.0,1391.0,-74.0,5.05
209,quoted_status.user.created_at_month_cos,mean,-0.02,-0.02,0.0,8.38
210,quoted_status.user.created_at_month_cos,std,0.69,0.69,-0.0,0.01
211,quoted_status.user.created_at_month_cos,min,-1.0,-1.0,0.0,0.0
212,quoted_status.user.created_at_month_cos,25%,-0.5,-0.5,0.0,0.0
213,quoted_status.user.created_at_month_cos,50%,-0.0,-0.0,0.0,0.0
214,quoted_status.user.created_at_month_cos,75%,0.5,0.5,0.0,0.0
215,quoted_status.user.created_at_month_cos,max,1.0,1.0,0.0,0.0
216,quoted_status.user.created_at_month_sin,count,1465.0,1393.0,-72.0,4.91
217,quoted_status.user.created_at_month_sin,mean,0.08,0.09,0.01,8.83
218,quoted_status.user.created_at_month_sin,std,0.72,0.72,0.0,0.03
219,quoted_status.user.created_at_month_sin,min,-1.0,-1.0,0.0,0.0
220,quoted_status.user.created_at_month_sin,25%,-0.5,-0.5,0.0,0.0
221,quoted_status.user.created_at_month_sin,50%,0.0,0.0,0.0,0.0
222,quoted_status.user.created_at_month_sin,75%,0.87,0.87,0.0,0.0
223,quoted_status.user.created_at_month_sin,max,1.0,1.0,0.0,0.0
224,quoted_status.user.created_at_quarter,count,1465.0,1389.0,-76.0,5.19
225,quoted_status.user.created_at_quarter,mean,2.39,2.39,0.01,0.31
226,quoted_status.user.created_at_quarter,std,1.11,1.1,-0.0,0.26
227,quoted_status.user.created_at_quarter,min,1.0,1.0,0.0,0.0
228,quoted_status.user.created_at_quarter,25%,1.0,1.0,0.0,0.0
229,quoted_status.user.created_at_quarter,50%,2.0,2.0,0.0,0.0
230,quoted_status.user.created_at_quarter,75%,3.0,3.0,0.0,0.0
231,quoted_status.user.created_at_quarter,max,4.0,4.0,0.0,0.0
232,quoted_status.user.created_at_year,count,1465.0,1390.0,-75.0,5.12
233,quoted_status.user.created_at_year,mean,2013.17,2013.2,0.04,0.0
234,quoted_status.user.created_at_year,std,4.45,4.45,0.0,0.11
235,quoted_status.user.created_at_year,min,2006.0,2006.0,0.0,0.0
236,quoted_status.user.created_at_year,25%,2009.0,2009.0,0.0,0.0
237,quoted_status.user.created_at_year,50%,2012.0,2012.0,0.0,0.0
238,quoted_status.user.created_at_year,75%,2017.0,2017.0,0.0,0.0
239,quoted_status.user.created_at_year,max,2023.0,2023.0,0.0,0.0
240,quoted_status.user.favourites_count,count,1465.0,1395.0,-70.0,4.78
241,quoted_status.user.favourites_count,mean,21905.65,21780.45,-125.2,0.57
242,quoted_status.user.favourites_count,std,54091.65,53809.76,-281.89,0.52
243,quoted_status.user.favourites_count,min,0.0,0.0,0.0,
244,quoted_status.user.favourites_count,25%,861.0,871.5,10.5,1.22
245,quoted_status.user.favourites_count,50%,4491.0,4539.0,48.0,1.07
246,quoted_status.user.favourites_count,75%,18125.0,17825.0,-300.0,1.66
247,quoted_status.user.favourites_count,max,952336.0,952336.0,0.0,0.0
248,quoted_status.user.followers_count,count,1465.0,1403.0,-62.0,4.23
249,quoted_status.user.followers_count,mean,1442950.3,1449780.86,6830.55,0.47
250,quoted_status.user.followers_count,std,9080746.1,9195824.41,115078.31,1.27
251,quoted_status.user.followers_count,min,1.0,1.0,0.0,0.0
252,quoted_status.user.followers_count,25%,2035.0,2028.5,-6.5,0.32
253,quoted_status.user.followers_count,50%,16666.0,16853.0,187.0,1.12
254,quoted_status.user.followers_count,75%,136102.0,135434.0,-668.0,0.49
255,quoted_status.user.followers_count,max,134449981.0,134449981.0,0.0,0.0
256,quoted_status.user.friends_count,count,1465.0,1394.0,-71.0,4.85
257,quoted_status.user.friends_count,mean,4041.85,4179.76,137.91,3.41
258,quoted_status.user.friends_count,std,36260.97,37164.84,903.87,2.49
259,quoted_status.user.friends_count,min,0.0,0.0,0.0,
260,quoted_status.user.friends_count,25%,243.0,249.0,6.0,2.47
261,quoted_status.user.friends_count,50%,727.0,724.0,-3.0,0.41
262,quoted_status.user.friends_count,75%,1745.0,1756.0,11.0,0.63
263,quoted_status.user.friends_count,max,793068.0,793068.0,0.0,0.0
264,quoted_status.user.listed_count,count,1465.0,1385.0,-80.0,5.46
265,quoted_status.user.listed_count,mean,3770.37,3726.24,-44.12,1.17
